Country,Gender,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Japan,Female,21.30785,21.32747,21.35073,21.37698,21.40332,21.43187,21.45969,21.49644,21.54149,21.59401,21.64526,21.6902,21.73106,21.76744,21.80507,21.83871,21.8704,21.89343,21.90258,21.90718,21.91883,21.92787,21.92321,21.91846,21.90982,21.89999,21.88838,21.88134,21.87088
Jordan,Female,27.53618,27.66532,27.79491,27.92429,28.05407,28.18367,28.30544,28.41393,28.50283,28.54372,28.59139,28.63333,28.68241,28.73186,28.78722,28.84813,28.90162,28.95081,28.99436,29.01994,29.05078,29.07225,29.10914,29.1285,29.15446,29.16865,29.18836,29.20494,29.21801
Kazakhstan,Female,25.33247,25.36906,25.41424,25.45651,25.49498,25.53796,25.58147,25.61629,25.65427,25.68334,25.70722,25.7183,25.72335,25.73631,25.74842,25.73352,25.72117,25.72692,25.69982,25.66748,25.67814,25.73111,25.82716,25.93915,26.06343,26.19882,26.34973,26.50722,26.65065
Kenya,Female,20.76415,20.87109,20.97783,21.06693,21.13585,21.23479,21.32499,21.41695,21.50289,21.58595,21.67362,21.76638,21.85332,21.92274,21.99634,22.06846,22.14283,22.21973,22.29126,22.38023,22.46548,22.5562,22.62218,22.69854,22.76959,22.84052,22.91335,22.98678,23.06181
Kiribati,Female,25.92601,26.0233,26.12618,26.2379,26.36935,26.50149,26.64895,26.79504,26.96652,27.13286,27.31808,27.50511,27.6998,27.9097,28.12652,28.34052,28.56792,28.80795,29.07253,29.33338,29.58238,29.81825,30.05359,30.27915,30.49198,30.70395,30.90668,31.10979,31.30769
"Korea, Dem. Rep.",Female,21.88833,21.91753,21.92661,21.93185,21.94174,21.95025,21.9683,21.98722,21.99191,22.00896,22.02563,22.03079,22.00946,21.9813,21.92378,21.84261,21.74137,21.64485,21.55317,21.47626,21.4123,21.35739,21.31523,21.28272,21.26556,21.25917,21.25542,21.24866,21.24984
"Korea, Rep.",Female,21.32769,21.49062,21.60369,21.69536,21.80401,21.89295,22.04149,22.14453,22.26618,22.38305,22.47904,22.54761,22.67086,22.80964,22.96703,23.08259,23.1327,23.21162,23.18315,23.17717,23.13303,23.09377,23.08167,23.0595,23.08677,23.14914,23.21704,23.27995,23.33227
Kuwait,Female,28.07072,28.12616,28.17882,28.24054,28.31658,28.37992,28.44934,28.51585,28.59654,28.6966,28.69217,28.73187,28.85391,29.02622,29.19542,29.37901,29.55505,29.7095,29.86438,30.00081,30.14044,30.25933,30.34041,30.45279,30.5736,30.71712,30.86545,31.01442,31.16186
Kyrgyzstan,Female,25.19762,25.24018,25.27569,25.31332,25.34923,25.38762,25.42008,25.44481,25.48016,25.50629,25.5253,25.51724,25.4913,25.42513,25.33986,25.25526,25.20284,25.18396,25.17476,25.18647,25.19772,25.22581,25.25225,25.31248,25.39055,25.45956,25.52686,25.60405,25.68361
Laos,Female,19.6461,19.72169,19.7981,19.87016,19.93975,20.00641,20.07371,20.13806,20.19163,20.25457,20.32477,20.39234,20.46209,20.53894,20.62677,20.7114,20.80003,20.88877,20.97517,21.0671,21.17882,21.28478,21.40257,21.51067,21.61504,21.72281,21.82771,21.93001,22.0302
Latvia,Female,25.56026,25.54109,25.51659,25.48766,25.46165,25.44047,25.41584,25.38413,25.36679,25.37161,25.3714,25.35779,25.30342,25.22458,25.16868,25.09488,25.06418,25.04227,25.0255,25.0277,25.04125,25.09014,25.15152,25.21715,25.29259,25.37759,25.46816,25.54595,25.61513
Lebanon,Female,24.261,24.35851,24.42574,24.50636,24.61598,24.74656,24.86811,24.97949,25.07866,25.15038,25.24894,25.41367,25.56023,25.69812,25.83717,25.99505,26.15623,26.35192,26.52837,26.69463,26.84515,26.99562,27.12636,27.23926,27.35773,27.45512,27.53097,27.61608,27.70471
Lesotho,Female,25.16363,25.23747,25.29474,25.34279,25.38587,25.427,25.47321,25.51103,25.54284,25.57714,25.61228,25.66289,25.71527,25.77358,25.83274,25.88601,25.9484,26.0147,26.07952,26.13961,26.20003,26.26148,26.32388,26.39342,26.46549,26.54057,26.61926,26.69811,26.78052
Liberia,Female,21.39746,21.47416,21.55747,21.62783,21.69937,21.77006,21.84005,21.90655,21.97577,22.0181,22.00022,22.02212,22.03126,22.02872,22.04506,22.07112,22.11328,22.19689,22.27854,22.36807,22.47748,22.58362,22.69692,22.76071,22.83306,22.91454,23.00681,23.10815,23.21679
Libya,Female,26.7653,26.87822,26.97452,27.05318,27.11086,27.16849,27.22474,27.28263,27.35013,27.42115,27.48219,27.55504,27.62927,27.70119,27.77896,27.85135,27.93468,28.02291,28.11017,28.19779,28.29678,28.40122,28.51032,28.62657,28.73863,28.85307,28.96073,29.08073,29.19874
Lithuania,Female,27.03491,26.96342,26.89066,26.82295,26.75682,26.68542,26.60809,26.53758,26.46755,26.40574,26.34338,26.28179,26.1813,26.04418,25.8978,25.76637,25.69312,25.64674,25.63621,25.64072,25.66177,25.70216,25.74912,25.80584,25.86497,25.91991,25.95786,25.99051,26.01424
Luxembourg,Female,24.24222,24.27998,24.32799,24.36895,24.42188,24.47796,24.54043,24.60019,24.67907,24.76107,24.84494,24.93509,25.03095,25.11935,25.20839,25.2831,25.3558,25.43275,25.50031,25.56788,25.63979,25.69968,25.76499,25.82982,25.89046,25.94614,25.99803,26.04757,26.09326
"Macao, China",Female,23.74741,23.80527,23.86797,23.92662,23.97568,24.02057,24.06336,24.11635,24.161,24.20689,24.25696,24.29624,24.34596,24.39088,24.42954,24.4719,24.50354,24.52756,24.5461,24.54499,24.55284,24.54264,24.55762,24.58209,24.6368,24.69043,24.74561,24.81715,24.89504
"Macedonia, FYR",Female,25.35796,25.35949,25.35646,25.35509,25.35038,25.34241,25.33712,25.32528,25.30345,25.28485,25.26086,25.22686,25.18487,25.12697,25.09374,25.06356,25.04531,25.038,25.07411,25.09551,25.1243,25.14507,25.16624,25.18106,25.21102,25.24255,25.28028,25.33213,25.37646
Madagascar,Female,20.32596,20.33866,20.33722,20.35215,20.36591,20.38592,20.40743,20.42487,20.44071,20.46247,20.48914,20.49612,20.50304,20.5121,20.51572,20.52204,20.53149,20.55008,20.57077,20.59504,20.62256,20.65229,20.65751,20.67173,20.68364,20.69584,20.70741,20.72133,20.73501
Malawi,Female,20.65521,20.72001,20.78581,20.83728,20.89022,20.94965,21.01018,21.07015,21.11109,21.15434,21.19305,21.24348,21.27565,21.33235,21.39961,21.49245,21.58761,21.69312,21.80685,21.92383,22.04351,22.15064,22.25219,22.35614,22.45903,22.56078,22.67308,22.79075,22.91455
Malaysia,Female,22.12225,22.25413,22.40309,22.54688,22.69314,22.81463,22.92262,23.01392,23.10735,23.22503,23.33146,23.4424,23.57312,23.71035,23.85272,24.00876,24.16197,24.30342,24.43246,24.56597,24.67875,24.77534,24.86649,24.95325,25.04321,25.13335,25.23541,25.34016,25.44832
Maldives,Female,21.71378,21.89227,22.05147,22.25887,22.50962,22.76455,22.97282,23.15647,23.36268,23.50912,23.61259,23.71109,23.86467,24.05013,24.25163,24.40311,24.55544,24.70953,24.8823,25.0735,25.24335,25.40158,25.55654,25.69591,25.82206,25.94846,26.10135,26.25828,26.4132
Mali,Female,19.08109,19.17243,19.2677,19.35648,19.44987,19.56523,19.69543,19.81954,19.94828,20.08925,20.22371,20.34653,20.46233,20.58047,20.69629,20.82255,20.95922,21.09652,21.24946,21.40307,21.57042,21.75881,21.94506,22.13176,22.31666,22.50307,22.69495,22.8879,23.07655
Malta,Female,25.87284,25.93026,25.96428,25.98902,25.99225,26.00177,25.99935,26.01165,26.03744,26.09319,26.12627,26.18624,26.25112,26.31218,26.37485,26.45139,26.51973,26.58428,26.66763,26.74443,26.79928,26.84629,26.88186,26.91781,26.95195,26.97226,27.00223,27.02655,27.04993
Marshall Islands,Female,25.41262,25.61479,25.8105,26.02769,26.23508,26.42591,26.64782,26.88289,27.13299,27.39396,27.63952,27.88973,28.12436,28.34575,28.56886,28.7904,28.97939,29.17469,29.34631,29.5393,29.73444,29.93286,30.14378,30.34851,30.55889,30.771,30.98042,31.1855,31.39287
Mauritania,Female,22.46584,22.58971,22.70641,22.85929,22.99698,23.13182,23.27129,23.41665,23.56313,23.70736,23.84604,23.98151,24.10785,24.23756,24.34791,24.47052,24.5976,24.72215,24.84888,24.99963,25.1528,25.29454,25.43653,25.57401,25.71169,25.84793,25.9912,26.13082,26.26476
Mauritius,Female,23.1809,23.28853,23.38832,23.47564,23.57018,23.66504,23.77823,23.88856,24.00298,24.13279,24.26225,24.39242,24.50947,24.62566,24.7382,24.85117,24.96115,25.06106,25.16366,25.26144,25.37198,25.47852,25.57969,25.67148,25.76525,25.85442,25.93586,26.0189,26.09824
Mexico,Female,24.5558,24.74217,24.93398,25.10648,25.28986,25.45777,25.61255,25.76044,25.91736,26.08465,26.23836,26.39312,26.5543,26.71187,26.86437,26.98975,27.12237,27.25841,27.39971,27.54598,27.69228,27.83824,27.97481,28.10605,28.23603,28.3666,28.49282,28.6183,28.73751
"Micronesia, Fed. Sts.",Female,25.79708,25.99305,26.19028,26.38436,26.58217,26.80141,27.02189,27.23215,27.4464,27.64955,27.86279,28.07101,28.28406,28.4963,28.7205,28.93357,29.13364,29.3191,29.50585,29.68657,29.86508,30.04526,30.2401,30.41645,30.58978,30.76596,30.94673,31.11035,31.28402
Moldova,Female,26.94728,26.9492,26.95458,26.96267,26.97467,26.97309,26.97522,26.97716,26.98598,26.99557,27.01067,27.00339,26.95322,26.91358,26.80137,26.69017,26.58236,26.50634,26.45275,26.40681,26.37499,26.39955,26.45503,26.53151,26.62949,26.74792,26.87398,26.96372,27.05617
Mongolia,Female,24.37897,24.45366,24.53027,24.60726,24.67765,24.73713,24.80272,24.85769,24.91199,24.959,24.99423,25.0021,24.97255,24.93691,24.91049,24.91348,24.93227,24.9603,24.99614,25.03476,25.08182,25.14161,25.20751,25.28025,25.35722,25.43904,25.5256,25.61957,25.71375
Montenegro,Female,25.97845,25.98315,25.97993,25.97328,25.96887,25.95966,25.94609,25.92096,25.89781,25.86329,25.83357,25.78189,25.70259,25.5708,25.44965,25.37074,25.3582,25.36535,25.37268,25.36997,25.37174,25.37664,25.39524,25.43526,25.47722,25.51935,25.57007,25.6336,25.70186
Morocco,Female,23.63014,23.72576,23.82666,23.91207,24.00485,24.09159,24.19255,24.2791,24.37327,24.4631,24.56496,24.66862,24.75536,24.83756,24.9286,25.00936,25.0997,25.19117,25.28935,25.3844,25.46713,25.56386,25.65263,25.75005,25.85092,25.94353,26.03668,26.13153,26.22309
Mozambique,Female,20.57566,20.63127,20.67721,20.70524,20.74128,20.77562,20.81005,20.86262,20.93701,21.02032,21.11337,21.20576,21.28749,21.37467,21.46524,21.5569,21.66066,21.77595,21.89939,22.03536,22.16763,22.3062,22.44782,22.59521,22.74372,22.89491,23.04035,23.18072,23.31734
Myanmar,Female,19.68336,19.78947,19.8928,19.99458,20.09005,20.18219,20.26389,20.33532,20.37915,20.43037,20.46869,20.50502,20.55591,20.62094,20.69657,20.78351,20.87477,20.97523,21.07636,21.18709,21.31119,21.44561,21.5815,21.72812,21.87684,22.03084,22.18523,22.33559,22.47733
Namibia,Female,23.01509,23.06663,23.11357,23.15068,23.182,23.20383,23.22676,23.2566,23.28104,23.30411,23.32627,23.36231,23.41192,23.46218,23.52324,23.59629,23.68042,23.79157,23.90315,24.02033,24.14935,24.27273,24.39392,24.51673,24.64467,24.77477,24.90001,25.02518,25.14988
Nauru,Female,28.27961,28.57176,28.85305,29.14102,29.42018,29.70876,29.99065,30.26874,30.52397,30.78398,31.02736,31.26445,31.50469,31.71394,31.92462,32.12212,32.31914,32.51595,32.72564,32.94598,33.16244,33.3814,33.61334,33.83865,34.07619,34.31589,34.54843,34.7854,35.02294
Nepal,Female,18.67922,18.7062,18.73518,18.76983,18.81432,18.8714,18.92608,18.98501,19.06376,19.14384,19.21536,19.29066,19.36406,19.43255,19.5024,19.57614,19.64958,19.73039,19.81407,19.90124,19.98358,20.07634,20.16195,20.2522,20.34916,20.44429,20.53734,20.63135,20.72814
Netherlands,Female,24.01055,24.02468,24.0424,24.05584,24.07384,24.09976,24.12684,24.15393,24.19634,24.23989,24.30339,24.36948,24.43897,24.50912,24.57449,24.64407,24.72222,24.78646,24.85621,24.92186,24.9958,25.05742,25.11372,25.16538,25.2287,25.28778,25.34442,25.41349,25.47269
Netherlands Antilles,Female,26.52971,26.69459,26.82757,26.94655,27.04848,27.13317,27.21448,27.28865,27.35527,27.44158,27.53152,27.61435,27.71878,27.844,27.96719,28.10681,28.23234,28.3469,28.46862,28.60105,28.73027,28.84041,28.96402,29.08819,29.19132,29.28223,29.36003,29.46686,29.57153
New Zealand,Female,24.16873,24.26687,24.37293,24.46889,24.56961,24.66795,24.78283,24.90259,25.01676,25.13153,25.25988,25.38032,25.49846,25.62123,25.75747,25.89278,26.01873,26.14364,26.26226,26.38412,26.49639,26.60665,26.72162,26.82615,26.94393,27.04818,27.15482,27.26653,27.36642
Nicaragua,Female,24.39298,24.49331,24.6017,24.71703,24.82252,24.93161,25.03886,25.15379,25.23323,25.32109,25.38449,25.45867,25.53986,25.62396,25.73862,25.85981,25.9864,26.1071,26.24303,26.37244,26.51048,26.65338,26.78785,26.92288,27.0653,27.19606,27.32139,27.44594,27.57259
Niger,Female,19.9383,20.02624,20.11358,20.19937,20.25888,20.33168,20.39645,20.45084,20.50339,20.55728,20.62778,20.68726,20.7415,20.78827,20.83253,20.88375,20.94504,21.03958,21.12033,21.1895,21.26753,21.37101,21.47314,21.58491,21.70471,21.78714,21.85886,21.89981,21.95958
Nigeria,Female,21.96824,22.01432,22.05272,22.06386,22.06904,22.09235,22.13109,22.16459,22.21158,22.27175,22.34363,22.43096,22.51978,22.61174,22.69068,22.76451,22.83816,22.91135,22.98172,23.05407,23.11974,23.18497,23.24367,23.31047,23.38157,23.45683,23.53181,23.60291,23.67402
Norway,Female,23.69724,23.78998,23.85946,23.92248,23.99738,24.06375,24.13536,24.22276,24.28573,24.34126,24.39726,24.45275,24.5178,24.5784,24.66003,24.725,24.80737,24.88982,24.98983,25.07753,25.16566,25.24481,25.32467,25.3964,25.4734,25.55161,25.61801,25.67953,25.73772
Oman,Female,24.9499,25.01447,25.08943,25.17595,25.27262,25.36826,25.45459,25.53356,25.6102,25.68978,25.75711,25.82279,25.87791,25.94404,26.00073,26.06894,26.12226,26.17082,26.23057,26.26647,26.31132,26.36844,26.41259,26.44791,26.4873,26.52809,26.57078,26.61815,26.66535
Pakistan,Female,21.77512,21.84054,21.90883,21.97572,22.03765,22.09581,22.15017,22.20855,22.26827,22.33224,22.39271,22.44757,22.50821,22.5722,22.6367,22.69937,22.75825,22.81711,22.8656,22.92093,22.97781,23.02851,23.07639,23.12278,23.17841,23.23714,23.30708,23.37641,23.44986
Palau,Female,26.2964,26.41021,26.53159,26.66462,26.81269,26.96566,27.127,27.28152,27.48545,27.69991,27.94286,28.17284,28.3972,28.60899,28.82317,29.04822,29.27975,29.50606,29.72713,29.93621,30.12458,30.33099,30.52967,30.73582,30.93905,31.16092,31.37596,31.61371,31.84726
Panama,Female,23.93532,24.07433,24.21856,24.35131,24.48199,24.62454,24.7683,24.88891,24.97688,25.06508,25.16124,25.27732,25.41004,25.54823,25.68505,25.81543,25.9474,26.0799,26.23299,26.36973,26.49077,26.62322,26.76206,26.9014,27.04305,27.19655,27.35146,27.51489,27.67758
Papua New Guinea,Female,20.80705,21.00101,21.1936,21.38178,21.56065,21.73765,21.92552,22.11155,22.29144,22.48028,22.66474,22.85041,23.03594,23.24291,23.47046,23.6723,23.85023,24.02811,24.20867,24.38124,24.54507,24.70155,24.85481,25.01155,25.15945,25.31338,25.45742,25.61721,25.77189
Paraguay,Female,23.46275,23.57815,23.69374,23.79758,23.89237,23.9919,24.07129,24.14318,24.20724,24.28721,24.35786,24.42433,24.49088,24.56053,24.6437,24.72598,24.80799,24.88804,24.98008,25.08229,25.17639,25.27066,25.36778,25.45656,25.54307,25.62579,25.71255,25.80675,25.90523
Peru,Female,25.05788,25.1177,25.16451,25.18774,25.20174,25.22531,25.29168,25.36339,25.41964,25.44776,25.45898,25.47142,25.48335,25.50167,25.53423,25.57455,25.61391,25.66507,25.70172,25.74621,25.79287,25.82597,25.84887,25.87142,25.88448,25.90412,25.92743,25.95748,25.98511
Philippines,Female,21.18078,21.28621,21.38587,21.47258,21.54787,21.60228,21.66182,21.72591,21.80066,21.8919,21.99069,22.08278,22.17428,22.26101,22.35518,22.44744,22.54578,22.63845,22.71136,22.78641,22.86442,22.93359,23.00286,23.0689,23.14503,23.22165,23.30013,23.3839,23.4671
Poland,Female,25.88009,25.85546,25.81424,25.7802,25.75254,25.72881,25.70964,25.69795,25.69049,25.68012,25.64815,25.6038,25.57663,25.56341,25.55038,25.5488,25.55492,25.57273,25.59855,25.62858,25.67019,25.70869,25.7373,25.76364,25.79344,25.82621,25.85715,25.89025,25.91887
Portugal,Female,24.78419,24.78212,24.78337,24.78973,24.8023,24.84194,24.89655,24.9662,25.0458,25.12985,25.21658,25.30725,25.37963,25.44945,25.51617,25.57105,25.63611,25.68311,25.74672,25.80904,25.86444,25.91667,25.9666,26.00618,26.05069,26.08713,26.1155,26.14834,26.18302
Puerto Rico,Female,26.02124,26.13113,26.24195,26.35689,26.47655,26.60079,26.72358,26.85764,26.99574,27.14045,27.28451,27.43578,27.5926,27.75471,27.92084,28.099,28.27554,28.45336,28.63231,28.81981,28.99917,29.17427,29.33243,29.49601,29.65451,29.80552,29.95571,30.08747,30.2212
Qatar,Female,27.18063,27.21624,27.23288,27.21902,27.21747,27.21141,27.20205,27.20653,27.22488,27.24717,27.27432,27.31507,27.37081,27.43604,27.50702,27.57854,27.65266,27.74898,27.85787,27.97294,28.08474,28.19014,28.3007,28.41088,28.51772,28.61986,28.71549,28.81813,28.91251
Romania,Female,25.38632,25.40756,25.41784,25.42715,25.44407,25.43526,25.41629,25.38964,25.37012,25.33248,25.28946,25.21008,25.1172,25.04664,24.98689,24.95871,24.93579,24.9055,24.88515,24.8783,24.88057,24.90658,24.94229,24.98681,25.03171,25.08256,25.14268,25.18177,25.22425
Russia,Female,26.75704,26.74246,26.72786,26.71326,26.69317,26.67439,26.65835,26.62869,26.61804,26.60907,26.60554,26.58873,26.55925,26.52748,26.48442,26.45395,26.42777,26.42657,26.42721,26.44407,26.48493,26.55083,26.62801,26.71394,26.80514,26.90646,27.00459,27.11021,27.21272
Rwanda,Female,20.49853,20.59207,20.685,20.76907,20.82125,20.87185,20.92121,20.95256,20.98155,21.0139,21.03124,21.06647,21.10625,21.14709,21.12283,21.14298,21.17848,21.21248,21.26197,21.32298,21.39851,21.47528,21.56031,21.64967,21.74596,21.84397,21.91979,21.99589,22.07156
Saint Kitts and Nevis,Female,26.41216,26.5591,26.71121,26.83406,26.97629,27.13665,27.29464,27.44879,27.61188,27.76222,27.90125,28.02935,28.15487,28.28068,28.41851,28.56751,28.73116,28.8941,29.03487,29.19295,29.35646,29.50778,29.65581,29.79495,29.94207,30.07738,30.21281,30.35647,30.50804
Saint Lucia,Female,23.97153,24.07713,24.1726,24.26659,24.38321,24.49757,24.61659,24.73153,24.85567,24.98021,25.11775,25.25124,25.40633,25.55341,25.69532,25.81483,25.93798,26.05579,26.1752,26.28974,26.39799,26.47672,26.56864,26.65579,26.76157,26.88093,27.00061,27.11414,27.22363
Saint Vincent and the Grenadines,Female,23.95613,24.06803,24.17227,24.28471,24.40498,24.52665,24.64744,24.76308,24.89177,25.01346,25.15141,25.28618,25.43096,25.58422,25.69216,25.80975,25.92007,26.03182,26.14978,26.27639,26.40448,26.53922,26.67955,26.82269,26.9644,27.1011,27.24094,27.3826,27.51587
Samoa,Female,26.82822,27.0946,27.34604,27.579,27.81775,28.0813,28.31362,28.56967,28.8261,29.08361,29.31271,29.53882,29.76002,29.97669,30.15989,30.37133,30.60247,30.83313,31.07135,31.31869,31.57943,31.85021,32.11163,32.3982,32.6661,32.94641,33.19639,33.4384,33.65908
Sao Tome and Principe,Female,21.39227,21.47234,21.59159,21.70995,21.82631,21.9675,22.08202,22.1803,22.31088,22.44002,22.57919,22.68625,22.78198,22.87019,22.97285,23.07944,23.18855,23.29456,23.40521,23.52502,23.65898,23.80378,23.95324,24.10064,24.2546,24.40796,24.5655,24.72319,24.88216
Saudi Arabia,Female,26.30048,26.50146,26.67906,26.81564,26.91796,26.99694,27.05188,27.09999,27.16546,27.22315,27.32061,27.43378,27.54589,27.65759,27.76479,27.89137,28.01927,28.1494,28.28052,28.38762,28.50804,28.63249,28.75728,28.89647,29.03556,29.17742,29.32025,29.45772,29.59878
Senegal,Female,21.24105,21.36231,21.4942,21.59429,21.6891,21.78554,21.88269,21.97859,22.08415,22.17728,22.28042,22.37786,22.4768,22.57465,22.66632,22.76016,22.85871,22.96298,23.06738,23.17361,23.29538,23.41751,23.53851,23.67086,23.80495,23.93713,24.05891,24.18556,24.30968
Serbia,Female,26.18821,26.19726,26.19767,26.19436,26.19215,26.18414,26.17154,26.14654,26.12304,26.08639,26.0537,26.00302,25.9169,25.78998,25.67428,25.59045,25.55097,25.5352,25.52078,25.48045,25.44916,25.42837,25.42545,25.44392,25.47133,25.50362,25.54609,25.60437,25.66997
Seychelles,Female,24.63553,24.7892,24.88818,24.95986,25.04393,25.14742,25.26267,25.36314,25.49253,25.60345,25.7385,25.87128,26.01559,26.17508,26.317,26.4504,26.58276,26.71304,26.84224,26.96458,27.09683,27.2326,27.34049,27.44406,27.54578,27.64326,27.7541,27.86362,27.97374
Sierra Leone,Female,21.29032,21.39009,21.48632,21.56866,21.64971,21.7319,21.81433,21.89865,21.97044,22.04321,22.11669,22.18921,22.24899,22.31498,22.40143,22.48895,22.56878,22.63204,22.69032,22.7396,22.79584,22.87993,22.99407,23.11852,23.26524,23.42051,23.58957,23.76172,23.93364
Singapore,Female,23.50693,23.52467,23.4995,23.49671,23.48332,23.50167,23.48973,23.47904,23.48769,23.47552,23.48489,23.49079,23.48203,23.48907,23.48437,23.45214,23.45037,23.43784,23.40915,23.38114,23.33759,23.28385,23.23321,23.1771,23.13865,23.06847,22.99779,22.93832,22.86642
Slovak Republic,Female,26.14283,26.16184,26.16801,26.17668,26.18809,26.19934,26.21016,26.21332,26.20976,26.20875,26.1932,26.15747,26.11002,26.06368,26.0477,26.03857,26.04047,26.06093,26.10104,26.11273,26.10914,26.10726,26.10618,26.11306,26.1317,26.17154,26.22382,26.27675,26.32373
Slovenia,Female,26.33469,26.3488,26.35739,26.36042,26.36901,26.36219,26.35748,26.343,26.32792,26.31044,26.28356,26.23389,26.17937,26.15046,26.13628,26.1388,26.16163,26.1798,26.2048,26.24579,26.29672,26.35006,26.39933,26.4387,26.46612,26.49639,26.52291,26.55853,26.58214
Solomon Islands,Female,23.76685,23.97249,24.17435,24.35858,24.54781,24.7326,24.91397,25.08611,25.25681,25.4509,25.64058,25.83669,26.03281,26.22764,26.42163,26.63016,26.84269,27.05873,27.26266,27.44813,27.59786,27.73423,27.87472,28.02761,28.18106,28.34179,28.51041,28.68683,28.8762
Somalia,Female,20.82326,20.8777,20.94207,20.99113,21.04014,21.08783,21.14824,21.2085,21.28008,21.34584,21.41801,21.49066,21.54737,21.61349,21.65734,21.7105,21.77488,21.83881,21.9034,21.97147,22.0393,22.11053,22.18624,22.26088,22.33732,22.41785,22.49921,22.58255,22.66607
South Africa,Female,26.96063,27.01702,27.07092,27.11522,27.16349,27.20876,27.24982,27.30018,27.34993,27.40052,27.45059,27.49718,27.54223,27.59783,27.6582,27.7295,27.80927,27.901,28.00366,28.11361,28.23492,28.36951,28.50839,28.65359,28.81107,28.97303,29.14019,29.31084,29.4803
Spain,Female,25.15307,25.17578,25.20167,25.21314,25.22648,25.24841,25.26954,25.30254,25.34826,25.40593,25.47486,25.54166,25.60445,25.65715,25.70743,25.7507,25.79656,25.83956,25.88586,25.93149,25.97859,26.02471,26.07576,26.12201,26.17108,26.21201,26.24502,26.27577,26.30554
Sri Lanka,Female,20.91804,21.00501,21.09847,21.20235,21.29937,21.39768,21.49121,21.56249,21.63945,21.70999,21.77705,21.84815,21.9181,21.9807,22.06616,22.14293,22.22727,22.31319,22.40078,22.49356,22.5844,22.65572,22.71949,22.78669,22.84211,22.89936,22.9721,23.04109,23.11717
Sudan,Female,20.84045,20.9004,20.95829,21.01455,21.04655,21.08524,21.13442,21.19168,21.25801,21.32417,21.38209,21.45769,21.53718,21.62991,21.72514,21.8208,21.91783,22.02092,22.12211,22.21242,22.30354,22.4023,22.50693,22.60498,22.7034,22.80708,22.92158,23.04149,23.16132
Suriname,Female,24.66849,24.78635,24.88496,24.98638,25.08308,25.18218,25.24579,25.2992,25.37544,25.45778,25.54146,25.6441,25.7436,25.83202,25.91479,26.01486,26.1414,26.27687,26.41249,26.54311,26.66373,26.78852,26.92424,27.06507,27.20559,27.34352,27.47346,27.60936,27.74986
Swaziland,Female,25.9118,25.9984,26.08508,26.15878,26.23323,26.29626,26.36604,26.44345,26.52143,26.60323,26.69716,26.77762,26.85623,26.92039,26.98932,27.05167,27.12833,27.20886,27.29209,27.39408,27.49829,27.61466,27.73696,27.8675,27.98975,28.09952,28.22464,28.34144,28.44886
Sweden,Female,24.38976,24.40887,24.42859,24.44646,24.47282,24.49549,24.51715,24.54024,24.56862,24.60073,24.6317,24.6609,24.6937,24.72727,24.7592,24.78171,24.80505,24.84215,24.8763,24.91203,24.94577,24.97519,24.99897,25.01686,25.04021,25.06417,25.09272,25.12062,25.1466
Switzerland,Female,23.73855,23.75266,23.75362,23.75985,23.77108,23.78567,23.8094,23.82917,23.85813,23.88731,23.92454,23.94671,23.97182,23.98785,24.00391,24.00887,24.01678,24.02124,24.02492,24.02517,24.03658,24.04071,24.04547,24.04917,24.05138,24.05048,24.05256,24.06285,24.07242
Syria,Female,25.77988,25.96604,26.13451,26.27667,26.38083,26.48084,26.55678,26.61871,26.69086,26.7316,26.78426,26.85147,26.94272,27.04667,27.15892,27.28469,27.42348,27.55998,27.70366,27.84517,27.97629,28.09912,28.23422,28.36123,28.4818,28.59345,28.69611,28.78184,28.87418
Taiwan,Female,22.35068,22.39635,22.43679,22.48294,22.53605,22.57586,22.62787,22.67459,22.70985,22.76011,22.79027,22.82199,22.87576,22.90402,22.93442,22.96066,22.98278,23.01592,23.03045,23.04643,23.06819,23.0667,23.06683,23.06212,23.06222,23.0498,23.04788,23.04753,23.04608
Tajikistan,Female,24.24057,24.27096,24.29151,24.32277,24.34917,24.36807,24.39046,24.39944,24.40989,24.40344,24.37914,24.33134,24.2295,24.11851,23.97149,23.83165,23.67826,23.55934,23.46529,23.40458,23.36578,23.35756,23.38196,23.43648,23.51383,23.59769,23.68614,23.7683,23.84799
Tanzania,Female,20.91322,20.99731,21.07677,21.13565,21.1956,21.2553,21.32929,21.40498,21.48352,21.56017,21.64124,21.71804,21.78942,21.85769,21.92299,21.98833,22.05213,22.12842,22.2097,22.28668,22.35494,22.43833,22.5268,22.60355,22.69582,22.79544,22.88898,22.98873,23.0843
Thailand,Female,21.47796,21.58552,21.69555,21.80696,21.90757,21.99786,22.09277,22.18611,22.29372,22.40187,22.53157,22.66934,22.81623,22.95872,23.10963,23.25901,23.40458,23.53154,23.64316,23.74154,23.82346,23.90172,23.9693,24.0344,24.10776,24.17813,24.24958,24.31875,24.38577
Timor-Leste,Female,19.45851,19.56317,19.66413,19.75773,19.85139,19.9382,20.02224,20.10113,20.18018,20.26006,20.32183,20.39405,20.48466,20.57631,20.67637,20.77678,20.8778,20.97987,21.07445,21.11837,21.16715,21.2186,21.26846,21.30549,21.34415,21.38108,21.40297,21.44611,21.50694
